0:0:0:0:0:0:0:1 - - [16/May/2021:21:32:35 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:32:35 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [16/May/2021:21:32:36 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:32:36 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:32:37 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:36:19 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:36:19 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [16/May/2021:21:36:19 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:36:20 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:36:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:00 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:00 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:00 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:01 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:03 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:11 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:12 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:12 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:12 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:15 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:15 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:16 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:16 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:17 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:37:43 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:38:36 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:38:36 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:38:36 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:38:37 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:38:39 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:39:17 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13422
0:0:0:0:0:0:0:1 - - [16/May/2021:21:39:18 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:21:39:18 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:39:18 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:39:25 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:40:38 +0530] "POST /ORS3/controller/User_Controller HTTP/1.1" 200 13800
0:0:0:0:0:0:0:1 - - [16/May/2021:21:40:38 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:40:58 +0530] "POST /ORS3/controller/User_Controller HTTP/1.1" 200 13807
0:0:0:0:0:0:0:1 - - [16/May/2021:21:40:58 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:41:16 +0530] "POST /ORS3/controller/User_Controller HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [16/May/2021:21:41:17 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:41:30 +0530] "GET /ORS3/controller/TimeTable_Controller HTTP/1.1" 200 12438
0:0:0:0:0:0:0:1 - - [16/May/2021:21:41:30 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:41:35 +0530] "POST /ORS3/controller/TimeTable_Controller HTTP/1.1" 200 12747
0:0:0:0:0:0:0:1 - - [16/May/2021:21:43:23 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11805
0:0:0:0:0:0:0:1 - - [16/May/2021:21:43:23 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:21:44:14 +0530] "GET /ORS3/controller/College_Controller HTTP/1.1" 200 11805
0:0:0:0:0:0:0:1 - - [16/May/2021:21:44:14 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
